name,mass,radius,semiMajorAxis,eccentricity,orbitalPeriod,centralCelestialBody,type,effectiveTemp
Sun,1.9885E30,695342,0.0,0.0,0.0,None,sun,5777
Mercury,3.283E23,2439.7,0.387,0.206,88,Sun,planet,
Venus,4.867E24,6051.8,0.723,0.007,225,Sun,planet,
Earth,5.972E24,6371,1,0.017,365,Sun,planet,
Mars,6.39E23,3389.5,1.524,0.093,687,Sun,planet,
Jupiter,1.898E27,69911,5.20440,0.049,4380,Sun,planet,
Saturn,5.683E26,58232,9.5826,0.057,10585,Sun,planet,
Uranus,8.681E25,25362,19.2184,0.046,30660,Sun,planet,
Neptune,1.024E26,24622,30.11,0.010,60225,Sun,planet,
Pluto,1.303E22,1186.0,39.3,0.006,90560,Sun,planet,

Moon,5.505738708697525E10,1737.0,0.0,0.0,0.0,Earth,moon,
Phobos,8043.121948533352,11.1,0.0,0.0,0.0,Mars,moon,
Deimos,1101.381085592725,6.2,0.0,0.0,0.0,Mars,moon,
Io,6.6994245744760086E10,1821.6,0.0,0.0,0.0,Jupiter,moon,
Europa,3.5990739777983185E10,1560.8,0.0,0.0,0.0,Jupiter,moon,
Ganymede,1.1113751444225307E11,2631.2,0.0,0.0,0.0,Jupiter,moon,
Callisto,8.06793714929269E10,2410.3,0.0,0.0,0.0,Jupiter,moon,
Amalthea,1550017.4447385722,83.45,0.0,0.0,0.0,Jupiter,moon,
Himalia,5016259.529803162,85.0,0.0,0.0,0.0,Jupiter,moon,
Elara,649424.3784833056,43.0,0.0,0.0,0.0,Jupiter,moon,
Pasiphae,220539.8042820035,30.0,0.0,0.0,0.0,Jupiter,moon,
Sinope,56025.278428528225,19.0,0.0,0.0,0.0,Jupiter,moon,
Lysithea,47636.597724912746,18.0,0.0,0.0,0.0,Jupiter,moon,
Carme,99381.77032219025,23.0,0.0,0.0,0.0,Jupiter,moon,
Ananke,22413.378627771024,14.0,0.0,0.0,0.0,Jupiter,moon,
Leda,8168.140899333462,10.0,0.0,0.0,0.0,Jupiter,moon,
